vernacular_name,scientific_name,used_parts,harvest,preservation,desease,GBIF,GBIF_id
Cypress (EN); Cipresso (IT);,Cupressus sempervirens,Buds; Young branches;,Collect the branches in spring and the buds in winter,Dry the branches in the shade and store them in paper or cloth bags. Dry the buds in the sun and store them in tightly sealed containers,Amenorrhea;  To regulate menstrual cycle;         ,https://www.gbif.org/species/2684030,2684030
Common poppy (EN); Papavero (IT);,Papaverum rhoeas,Flowers;,"Harvest the petals and the seedpods, emptied of their seeds, during flowering","Dry in the shade and store in containers away from light, moisture and air",Dysmenorrhea;,https://www.gbif.org/species/2888443,2888443
Savin juniper (EN); Erba sabina (IT);,Juniperus sabina,Flowers;,,,Amenorrhea; To regulate menstrual cycle;  ,https://www.gbif.org/species/7963890,7963890
Saffron (EN); Zafferano (IT);,Crocus sativus,Flowers;,Harvest the stigmas of the flowers at the start of flowering,Dry in the sun and store in canvas bags away from light and moisture,Amenorrhea;        ,https://www.gbif.org/species/2747430,2747430
Incense (EN); Incenso (IT);,Boswellia,Seeds;,,,Amenorrhea;        ,https://www.gbif.org/species/3190439,3190439
White butterbur (EN); Farfaraccio bianco (IT);,Petasites albus Gaertn. ,,,,Metrorrhagia;,https://www.gbif.org/species/7749287,7749287
Coltsfoot (EN); Farfarella (IT);,Tussilago farfara,Leaves;,,,To regulate menstrual cycle;,https://www.gbif.org/species/3149879,3149879
Starflower (EN); Borragine (IT);,Borago officinalis,Leaves; Flowering tops;,"Harvest before the flowers have fully opened, preferably in the morning","Dry immediately after harvesting in a dry, well-ventilated place, taking care to separate the flowers from their calyxes beforehand",Amenorrhea;        ,https://www.gbif.org/species/2926110,2926110
Valerian (EN); Valeriana (IT);,Valeriana officinalis,Leaves; Roots,"Dry immediately after harvesting in a dry, well-ventilated place, taking care to separate the flowers from their calyxes beforehand","Dry thoroughly after washing, in the sun and in the open air, and store in glass containers in a cool, dry place",To regulate menstrual cycle;,https://www.gbif.org/species/2888763,2888763
Red chickpea (EN); Ceci (IT);,Cicer arietinum,,,,To regulate menstrual cycle;,https://www.gbif.org/species/2947311,2947311
Bryonia dioica Jacq. (EN); Brionia (IT);,Bryonia dioica Jacq. ,Roots;,"Harvest in autumn or, preferably, in spring",Use the freshly picked plant,Amenorrhea;        ,https://www.gbif.org/species/6422396,6422396
Capelvenere (IT); Southern maidenhair fern (EN);,Adiantum capillus-veneris,Leaves;,Harvest from June to September,Keep in closed containers in a dry place once it has been dried,To regulate menstrual cycle; Dysmenorrhea; Amenorrhea;        ,https://www.gbif.org/species/2651816,2651816
Gum arabic tree (EN); Gomma arabica (IT);,Acacia senegal Willd.,Rubber;,,,Metrorrhagia; Menorrhagia;,https://www.gbif.org/species/2978697,2978697
Common bean (EN); Fagiolo (IT);,Phaseolus vulgaris ,Seeds;,Harvest whilst ripening,Remove the seeds from the pods and dry them in the sun. Then store them in bags or boxes,To regulate menstrual cycle;,https://www.gbif.org/species/5350452,5350452
St John’s wort (EN); Erba di San Giovanni (IT);,Hypericum perforatum,Leaves;,,,To regulate menstrual cycle; Dysmenorrhea;       ,https://www.gbif.org/species/3189486,3189486
Walnut (EN); Noce (IT);,Juglans regia,Leaves; Husks;,"The leaves can be harvested in late summer. The husk, when the fruit is harvested",Dry the leaves in the shade and store them in paper or wooden containers. The husks should be sun-dried and stored away from moisture and dust,Menorrhagia;,https://www.gbif.org/species/3054368,3054368
Lavender (EN); Lavanda (IT);,Lavandula angustifolia Mill.,,"Pick the flower heads early in the morning when the sun is out, during the summer","Dry in bunches hung up, away from light, and store in airtight containers",To regulate menstrual cycle;,https://www.gbif.org/species/2927305,2927305
Common horehound (EN); Marrubbio (IT);,Marrubium vulgare,Leaves; Flowering tops;,Harvest at the start of flowering (spring–summer),"Dry in a cool, well-ventilated and dry place, tied in bunches, and store in paper bags to protect them from moisture",To regulate menstrual cycle;,https://www.gbif.org/species/2927069,2927069
Wild marjoram (EN); Origano (IT);,Origanum vulgare,,"Harvest during the summer, once the plant has finished flowering","Dry in the shade and in the open air, and store in airtight containers",Amenorrhea;        ,https://www.gbif.org/species/2926612,2926612
Vitex (EN); Agnocasto (IT);,Vitex agnus-castus,Flowers;,,,Amenorrhea;        ,https://www.gbif.org/species/2925562,2925562
Giant reed (EN); Canna (IT);,Arundo donax,Roots;,,,To regulate menstrual cycle; Amenorrhea;        ,https://www.gbif.org/species/2703041,2703041
Bermuda grass (EN); Gramigna (IT);,Cynodon dactylon,Leaves; Roots;,"Uproot the rhizome at any time of year, except in winter","Clean the rhizomes, dry them in the sun and store them in wooden containers, protected from woodworm and air. Replace them frequently as they spoil easily",Amenorrhea;        ,https://www.gbif.org/species/6109637,6109637
Burning bush (EN); Dittamo (IT);,Dictamnus albus,Leaves;,,,Amenorrhea; Dysmenorrhea;        ,https://www.gbif.org/species/5421338,5421338
Rue (EN); Ruta (IT);,Ruta graveolens,Leaves; Flowering tops;,Harvest just before flowering,Dry in the shade and store in paper or cloth bags,Amenorrhea;        ,https://www.gbif.org/species/3190382,3190382
Black nightshade (EN); Morella (IT);,Solanum nigrum,Leaves;,,,,https://www.gbif.org/species/9150405,9150405
Common nettle (EN); Ortica (IT);,Urtica dioica,Leaves; Roots; ,The roots should be harvested at the end of summer. The aerial parts are harvested from spring to autumn,"Dry the plant in the shade and store it in boxes or crates, protected from damp and dust. The roots should be dried in the sun and stored in canvas bags",Metrorrhagia; Menorrhagia;,https://www.gbif.org/species/7960979,7960979
Field maple (EN); Acero (IT);,Acer campestre,Bark;,,,To regulate menstrual cycle; Dysmenorrhea;       ,https://www.gbif.org/species/3189863,3189863
