vernacular_name,scientific_name,used_parts,harvest,preservation,desease,GBIF,GBIF_id,theferns,hazards,habitat,habit,cultivation,edible,others,agroforestry,propagation
Sage (EN); Salvia (IT);,Salvia officinalis,Leaves; Flowering tops;,"The flowering tops are harvested from May to August, and the leaves from April to July",Dry the parts in the shade and store them in containers away from light and moisture,Dismenorrea;,https://www.gbif.org/species/2927004,2927004,https://temperate.theferns.info/viewtropical.php?id=Salvia+officinalis,"The essential oil in this plant contains thujone. Side effects from consuming thujone can include sleeplessness and anxiety but, unless the pure essential oil is used, the quantity of thujone found in plants is well within safety levels. Pregnant women, however, may be advised to restrict their use of thujone-containing plants.","Dry banks and stony places, usually in limestone areas and often where there is very little soil.",evergreen shrub,"It grows best in areas where annual daytime temperatures are within the range 15 - 26°c, but can tolerate 5 - 30°c. When dormant, the plant can survive temperatures down to about -10°c so long as the soil is not wet and this is not for more than a few days. It prefers a mean annual rainfall in the range 500 - 1,000mm, but tolerates 300 - 1,500mm. Requires a very well-drained light sandy soil in a sunny position. Prefers a calcareous soil. Dislikes heavy or acid soils. Prefers a pH in the range 5 - 6.5, tolerating 4.2 - 8.3. Succeeds in dry soils, tolerating drought once it is established. Sage can be killed by excessive winter wet and winter-planted bushes often die. Plants need to be trimmed in late spring in order to keep them compact. They tend to degenerate after a few years and are best replaced after about 4 years. The leaves emit a unique pungent aroma when pressed. A good companion for many plants, including rosemary, cabbages and carrots, the growing plant is said to repel insects. It is inhibited by wormwood growing nearby and dislikes growing with basil, rue or the cucumber and squash family.","Leaves and flowers - raw or cooked. A very common herb, the strongly aromatic leaves are used as a flavouring in cooked foods. They are an aid to digestion and so are often used with heavy, oily foods. They impart a sausage-like flavour to savoury dishes. The young leaves and flowers can be eaten raw, boiled, pickled. The flowers can also be sprinkled on salads to add colour and fragrance. A herb tea is made from the fresh or dried leaves, it is said to improve the digestion.","The leaves make excellent tooth cleaners. Simply rub the top side of the leaf over the teeth and gums. The purple-leafed form of sage has tougher leaves and is better for cleaning the teeth. The leaves have antiseptic properties and can heal diseased gums. The plant was formerly used as a strewing herb and has been burnt in rooms to fumigate them.","A good companion for many plants, including rosemary, cabbages and carrots. It is inhibited by wormwood growing nearby and dislikes growing with basil, rue or the cucumber and squash family. The growing or dried plant is said to repel insects, it is especially useful when grown amongst cabbages and carrots. A good dense ground cover plant for sunny positions, though it needs weeding for the first year or two. They are best spaced about 60cm apart each way.","Seed - sow early to mid spring in a greenhouse. Germination usually takes place within 2 weeks. Prick out the seedlings into individual pots when they are large enough to handle and plant them out in early summer. In areas where the plant is towards the limits of its hardiness, it is best to grow the plants on in a greenhouse for their first winter and plant them out in late spring of the following year. Cuttings of heeled shoots, taken off the stem in May and planted out directly into the garden grow away well. Cuttings of half-ripe wood, 5 - 10cm with a heel, early summer to August in a frame. Cuttings of mature wood, 7 - 10cm with a heel, late autumn in a cold frame. Layering in spring or autumn. Mound soil up into the plants, the branches will root into this soil and they can be removed and planted out 6 - 12 months later."
Elderberry (EN); Ebolo (IT);,Sambucus nigra,Roots;,,,Amenorrhea;,https://www.gbif.org/species/2888728,2888728,https://temperate.theferns.info/viewtropical.php?id=Sambucus+nigra,"The leaves and stems are poisonous.","Hedgerows, scrub, woods, roadsides, waste places etc, especially on disturbed base-rich and nitrogen rich soils.",dedicious shrub,"A very easily grown plant, it tolerates most soils and situations,  growing well on chalk, but prefers a moist loamy soil. Grows well in heavy clay soils. Tolerates some shade but fruits better in a sunny position. Tolerates atmospheric pollution and coastal situations. The elder is very occasionally cultivated for its edible fruit, there are some named varieties though most of these have been developed for their ornamental value. The leaves often begin to open as early as January and are fully open in April. The leaves fall in October/November in exposed sites, later in sheltered positions. Young stems can be killed by late frosts but they are soon replaced from the ground level. Very tolerant of pruning, plants can be cut back to ground level and will regrow from the base. The flowers have a sweet, almost overpowering smell, not exactly pleasant when inhaled near to for it has fishy undertones, but from a distance its musky scent is appealing. Very resistant to the predations of rabbits. The flowers are very attractive to insects. The fruit is very attractive to birds and this can draw them away from other cultivated fruits. The elder is an early colonizer of derelict land, the seed arriving in the defecations of birds and mammals. It is a very good pioneer species for re-establishing woodlands.","Fruit - raw or cooked. The flavour of the raw fruit is not acceptable to many tastes, though when cooked it makes delicious jams, preserves, pies and so forth. It can be used fresh or dried, the dried fruit being less bitter. The fruit is used to add flavour and colour to preserves, jams, pies, sauces, chutneys etc, it is also often used to make wine. The fruit is about 8mm in diameter and is borne in large clusters. Flowers - raw or cooked. They can also be dried for later use. The flowers are crisp and somewhat juicy, they have an aromatic smell and flavour and are delicious raw as a refreshing snack on a summers day, though look out for the insects. The flowers are used to add a muscatel flavour to stewed fruits, jellies and jams. They are often used to make a sparkling wine. A sweet tea is made from the dried flowers. The leaves are used to impart a green colouring to oils and fats.","The plant is a valuable addition to the compost heap,  its flowers are an alternative ingredient of 'QR' herbal compost activator  and the roots of the plant improve fermentation of the compost heap when growing nearby. The leaves are used as an insect repellent, very effective when rubbed on the skin though they do impart their own unique fragrance. They can be powdered and placed amongst plants to act as a deterrent, or made into a spray when they act as an insecticide. This is prepared by boiling 3 - 4 handfuls of leaves in a litre of water, then straining and allowing to cool before applying. Effective against many insects, it also treats various fungal infections such as leaf rot and powdery mildew. The dried flowering shoots are used to repel insects, rodents etc. The flowers are used in skin lotions, oils and ointments. Tolerant of salt-laden gales, this species can be grown as a shelter hedge in exposed maritime areas, it is rather bare in the winter though. This is an excellent pioneer species to use when re-establishing woodlands. It is very tough and wind-resistant, grows quickly and provides shelter for longer-lived and taller woodland species to establish. It will generally maintain itself in the developing woodland, though usually in the sunnier positions. A dye is obtained from the fruit and the bark. The bark of older branches and the root have been used as an ingredient in dyeing black. A green dye is obtained from the leaves when alum is used as a mordant. The berries yield various shades of blue and purple dyes. They have also been used as a hair dye, turning the hair black. The blue colouring matter from the fruit can be used as a litmus to test if something is acid or alkaline. It turns green in an alkaline solution and red in an acid solution. The pith in the stems of young branches pushes out easily and the hollow stems thus made have been used as pipes for blowing air into a fire. They can also be made into musical instruments. The pith of the wood is used for making microscope slides and also for treating burns and scalds. The mature wood is white and fine-grained. It is easily cut and polishes well. Valued highly by carpenters, it has many used, for making skewers, mathematical instruments, toys etc.",,"Seed - best sown as soon as it is ripe in the autumn in a cold frame, when it should germinate in early spring. Stored seed can be sown in the spring in a cold frame but will probably germinate better if it is given 2 months warm followed by 2 months cold stratification first. Prick out the seedlings into individual pots when they are large enough to handle. If good growth is made, the young plants can be placed in their permanent positions during the early summer. Otherwise, either put them in a sheltered nursery bed, or keep them in their pots in a sheltered position and plant them out in spring of the following year. Cuttings of half-ripe wood, 7 - 10cm with a heel, mid summer in a frame. Cuttings of mature wood of the current season's growth, 15 - 20cm with a heel, late autumn in a frame or a sheltered outdoor bed. Division of suckers in the dormant season."
Celery (EN); Sedano (IT);,Apium graveolens,Roots; Fruits; Flowers; Leaves;,Harvest the flowers at the start of flowering or during flowering; harvest the roots and fruits from autumn to spring,"Dry the flowers in the shade and store them in sealed containers. Dry the roots in the sun and store them in glass jars. Dry the fruits, crush them and sieve them, taking care to store them in glass jars",Menorrhagia; To regulate menstrual cycle;,https://www.gbif.org/species/5371879,5371879,https://temperate.theferns.info/viewtropical.php?id=Apium+graveolens,"If the plant is infected with the fungus Sclerotinia sclerotiorum, skin contact with the sap can cause dermatitis in sensitive people.","Ditches, by rivers and in other damp locations, especially near the sea in salt marshes",biennial,"The plants are fairly hardy, though they can be damaged by hard frosts. Prefers a rich moist soil in sun or semi-shade, but with some shade in the summer. It is tolerant of saline soils. The growing plant is a good companion for leeks, tomatoes, French beans and brassicas.","Leaves - raw or cooked. Mainly used as a flavouring in soups etc. They can be eaten raw but have a very strong flavour. They are toxic if consumed in large amounts. Seed - a flavouring. Used in small quantities to flavour soups and stews.  An essential oil from the seed is also used as a flavouring. Root - cooked.","The growing plant is an insect repellent, it repels the cabbage white butterfly so is a good companion for brassicas.",,"Seed - sow spring or autumn in situ. If seed is in short supply it can be sown in a cold frame in spring. The seed can harbour certain diseases of celery, it is usually treated by seed companies before being sold but if you save your own seed you should make sure that only seed from healthy plants is used."
Parsley (EN); Prezzemolo (IT);,Petroselinum crispum (Mill.),Roots; Leaves; Fruits;,Harvest the leaves in late spring. Harvest the roots and seeds in early autumn,"Dry the roots and leaves in the shade, taking care to store them separately: use airtight containers for the roots and canvas or paper bags for the leaves. Then dry the seeds by placing them in direct sunlight. Keep all parts in a dry place",Amenorrhea; To regulate menstrual cycle;,https://www.gbif.org/species/7828157,7828157,https://temperate.theferns.info/viewtropical.php?id=Petroselinum+crispum,"Excessive contact with the plant can cause skin inflammation","Grassy waste places on walls and rocks, especially on limestone and near the coast.",biennial," It grows best in areas where annual daytime temperatures are within the range 11 - 20°c, but can tolerate 7 - 28°c.  When dormant, the plant can survive temperatures down to about -5°c, but young growth can be severely damaged at 0°c.  It prefers a mean annual rainfall in the range 900 - 1,500mm, but tolerates 300 - 2,800mm. Prefers a moist well-drained soil in sun or partial shade. High temperatures can adversely affect growth, so light shade is often helpful. Prefers a good light soil that is not too light or acid, growing poorly in light acid soils. Tolerant of a moderate level of salt in the soil. Prefers a pH in the range 6 - 7.5, tolerating 5.3 - 8.3.  Leaves may be harvested 70 - 100 days after transplanting, and harvesting may continue for as long as local climatic conditions allow. A good bee plant. A good companion plant, especially for growing near roses, tomatoes, carrots, chives and asparagus, giving them all added vigour and protection against certain pests, especially carrot root fly and rose beetles.","Leaves - raw or cooked. Parsley is frequently used as a garnish or as a flavouring in salads and many cooked dishes, but has too strong a flavour to be eaten in quantity for most palates. The leaves should be harvested regularly in order to encourage fresh growth and get maximum yields. The leaves are difficult to dry. The stems can be dried and ground and used as a food colouring. A tea is made from the fresh or dried leaves.","The juice is an effective mosquito repellent when it is rubbed into the skin and is also used to relieve the pain of stings and bites. An infusion of the leaves is an excellent rinse for dark hair and also helps in the treatment of dandruff.","A good companion plant, repelling insects from nearby plants","Seed - Three sowings can provide a year round supply of fresh leaves. The first sowing is made in a greenhouse in late winter. Prick out the seedlings into individual pots when they are large enough to handle and plant them out in mid to late spring. The second sowing is made outdoors in situ in the middle of spring and the third is also made in situ outdoors, this time in mid to late summer. Germination usually takes place in about 7 days at 25°c, though it can take 4 - 6 weeks. Germination time can be reduced by pre-soaking the seed for 12 hours in hot water that is allowed to cool quickly, but be careful not to overdo the heat and cook the seed. The seed remains viable in normal storage for 2 - 3 years."
Common mallow (EN); Malva (IT);,Malva sylvestris,Leaves; Flowers;,Harvest the flowers just before they are fully open; harvest the leaves whilst they are in bloom,"Dry in the shade immediately after harvesting and store in sealed containers, protected from air and moisture",To regulate menstrual cycle; Amenorrhea;        ,https://www.gbif.org/species/3152374,3152374,https://temperate.theferns.info/viewtropical.php?id=Malva+sylvestris,"When grown on nitrogen rich soils,  the plant tends to concentrate high levels of nitrates in its leaves.","Waste ground, field verges and roadsides, avoiding acid soils. Shrub thickets, open woods, parks, gardens, waste places, orchards, cereal fields, field borders, waysides and fences.",biennial,"A very easily grown plant, succeeding in ordinary garden soil and in poor soils.  It prefers a reasonably well-drained and moderately fertile soil in a sunny position, where it will produce a better crop of salad leaves. Plants seem to be immune to the predations of rabbits. Prone to infestation by rust fungus.","Leaves - raw or cooked. Mucilaginous with a mild pleasant flavour, they are nice in soups where they act as a thickener. The young leaves also make a very acceptable substitute for lettuce in a salad. Immature seed - raw. Used as a nibble, the seeds have a nice nutty flavour. Flowers - raw. Added to salads or used as a garnish. The flowers are also used to colour various liquors and vinegar, to enrich the color of certain kinds of red wine, etc. The leaves are a tea substitute.","Cream, yellow and green dyes can be obtained from the plant and the seed heads. A dye obtained from the flowers can be used to dye wool a blackish-blue or gray colour (with iron as a mordant), or bluish-violet to gray (with aluminum mordant), and dark violet (with lead mordant). A tincture of the flowers forms a very delicate test for alkalis. A coarse fibre obtained from the stems is useful for cordage, textiles and paper making. The seeds contain 10 - 18% of a a yellow-coloured oil, with an iodine number of 110.7.",,"Seed - sow early spring in situ. Germination should take place within 2 weeks."
Lettuce (EN); Lattuga (IT);,Lactuca sativa,Roots; Leaves; Flowers;,,,To regulate menstrual cycle;,https://www.gbif.org/species/7403263,7403263,https://temperate.theferns.info/viewtropical.php?id=Lactuca+sativa,,,annual,"Prefers a light sandy loam. Succeeds in most well-drained, humus-rich soils but dislikes acid conditions. Plants strongly dislike dry conditions, quickly running to seed in such a situation. Early and late sowings are best in a sunny position, but summer crops are best given a position with some shade in order to slow down the plants tendency to go to seed and to prevent the leaves becoming bitter. Lettuces are quite a problematic crop to grow. They require quite a lot of attention to protect them from pests such as slugs, aphids and birds. If the weather is hot and dry the plants tend to run very quickly to seed, developing a bitter flavour as they do so. In wet weather they are likely to develop fungal diseases. In addition, the seed needs to be sown at regular intervals of 2- 3 weeks during the growing season in order to provide a regular supply of leaves.","Leaves - raw or cooked. A mild slightly sweet flavour with a crisp texture, lettuce is a very commonly used salad leaf and can also be cooked as a potherb or be added to soups etc. Seed - sprouted. An edible oil is obtained from the seed. The seed is very small, extraction of the oil on any scale would not be very feasible.","Parasiticide",,"Seed - sow a small quantity of seed in situ every 2 or 3 weeks from early spring (with protection in cooler areas) to early summer and make another sowing in mid summer to early autumn for a winter/spring crop. Only just cover the seed. Germination is usually rapid and good, thin the plants if necessary, these thinnings can be transplanted to produce a slightly later crop (but they will need to be well watered in dry weather). More certain winter crops can be obtained by sowing in a frame in September/early autumn and again in January/late winter."
Blue daisy (EN); Cicoria (IT);,Cichorium intybus,Plant;,"Harvest the roots in autumn, and the leaves and flowers before they bloom",Cut the root lengthways and dry it in the sun. Leave the leaves and flowers to dry in the shade and store them in plastic bags,To regulate menstrual cycle;,https://www.gbif.org/species/5392252,5392252,https://temperate.theferns.info/viewtropical.php?id=Cichorium+intybus,"Excessive and continued use may impair function of the retina","Grassy meadows and arable land, especially on chalk",perennial,"Prefers a sunny position in any moderately fertile well-drained moisture retentive soil. Prefers a pH 5.5 to 7. Tolerates a pH in the range 4.5 to 8.3. Chicory grows on any type of soil but, when cultivated, grows best on mellow, deeply tilled, fertile soil or sandy loam. A cool weather crop, it tolerates only moderate summer temperatures and requires well-distributed rainfall, with good drainage, or some irrigation in drier areas. Chicory produces a taproot which penetrates deeply into the soil in a relatively short time; soil too wet for beans and small grains is not suitable. To insure proper root-growth, apply lime or marl to acid soil to neutralize acidity. Chicory is reported to tolerate a pH in the range of 4.5 to 8.3, an annual rainfall of 30 to 400 cm and an annual mean biotemperature of 6° to 27°C. Although a perennial, chicory is usually cultivated as an annual crop, especially when being grown as a winter salad. The winter salad cultivars are usually sown in early summer to make sure that they do not flower in their first year of growth. By late autumn they have formed an overwintering rosette of leaves rather like a cabbage. These leaves can be harvested as required during the winter and the plants will then usually make some new growth (as long as the winter is not too cold) that can be harvested in late winter or early spring. The plants run to flower in the following summer and fail to make an overwintering rosette of leaves for that winter.","Leaves - raw or cooked. The leaves are rather bitter, especially when the plants are flowering. The leaves are often blanched by excluding light, either by removing all the leaves and then earthing up the new growth, or by covering the plant with a bucket or something similar. Whilst this greatly reduces any bitterness, there is also a corresponding loss of vitamins and minerals. The blanched leaves are often used in winter salads (they are known as chicons) and are also cooked. The unblanched leaves are much less bitter in winter and make an excellent addition to salads at this time of year. Flowers - raw. Root - cooked like parsnip. The boiled young roots form a very palatable vegetable. The root is said to be an ideal food for diabetics because of its inulin content. Inulin is a starch that cannot be digested by humans, it tends to pass straight through the digestive system and is therefore unlikely to be of use to a diabetic. However, the inulin can be used to make a sweetener that is suitable for diabetics to use. Roots are used in seasoning soups, sauces and gravies, and to impart a rich deep colour. The roasted root is used as a caffeine-free coffee adulterant or substitute. Young roots have a slightly bitter caramel flavour when roasted, roots over 2 years old are much more bitter.","A blue dye has been obtained from the leaves. The flowers are an alternative ingredient of 'QR' herbal compost activator. This is a dried and powdered mixture of several herbs that can be added to a compost heap in order to speed up bacterial activity and thus shorten the time needed to make the compost.",,"Seed - sow the wild form or cultivars being grown for their roots in May or early summer in situ. Cultivars being grown for their edible leaves can be sown in mid spring for a summer crop or in early summer/July for a winter crop. Sow them in situ or in pots and then plant them out as soon as they are large enough."
Fennel (EN); Finocchio (IT);,Foeniculum vulgare Mill.,Roots; Leaves; Fruits; Seeds;,"Harvest the roots in autumn, taking care to discard any that have become woody. The leaves should be harvested in summer, before flowering, and the fruits should be picked before they ripen","The roots can be sun-dried and stored in dust-proof bags, whilst the leaves and seeds, which have been dried in the shade and in the open air, can be stored in wooden or cardboard containers",To regulate menstrual cycle;,https://www.gbif.org/species/3034922,3034922,https://temperate.theferns.info/viewtropical.php?id=Foeniculum+vulgare,"Skin contact with the sap or essential oil is said to cause photo-sensitivity and/or dermatitis in some people. Ingestion of the oil can cause vomiting, seizures and pulmonary oedema.","Found most often in dry stony calcareous soils near the sea",evergreen perennial," It is fairly cold-hardy, known to tolerate occasional temperatures falling as low as -25°c so long as conditions are fairly dry, though it does lose its top growth in such conditions. It grows best in regions where the mean annual rainfall is within the range 500 - 2,000mm, tolerating up to 4,000mm, and the mean annual temperature is within the range 6 - 12°c, tolerating up to 24°c. lants are liable to die out over the winter if the soil is not well-drained or the weather is persistently cold and wet. Fennel is generally an easily grown plant, it succeeds in most soils but prefers a sunny dry position. It grows well in sandy soils and is drought tolerant once established. The plant thrives in non-acid, well-drained loams and tolerates a soil pH between 6.3 and 8.3. Plants often self-sow freely in the garden. Plants can be grown in quite coarse grass, which can be cut annually in the autumn. Initial development of seedlingz is slow, with a period of 8- 12 weeks from sowing to stem emergence. Flowering occurs 3 - 4 months after sowing, and the time from sowing to first seed harvest is 5 - 7 months. Especially in mild winters, the leaves can be available all year round.  It is best to cut a few plants back to ground level occasionally during the growing season, thus ensuring a constant supply of fresh young shoots.  In a dry summer make sure that you water the cut-down clump or it might not regrow that year. It is best not to grow fennel and dill (Anethum graveolens) close to each other since hybridisation can occur and the resulting seedlings will be of indeterminate flavour","Leaves - raw or cooked. A delicious aniseed flavour, the young leaves are best since older ones soon become tough. They are often used as a garnish on raw or cooked dishes and make a very pleasant addition to salads. They help to improve digestion and so are particularly useful with oily foods. The leaves are difficult to store dried,  though this does not really matter since they can often be harvested all year round, especially if the plants are in a warm, sheltered position. Leaf stalks and flower heads - raw or cooked. An essential oil from the fully ripened and dried seed is used as a food flavouring in similar ways to the whole seed. Root - cooked. Somewhat parsnip-like. The leaves or the seeds can be used to make a pleasant-tasting herbal tea.","The seed yields up to 5% of an essential oil. The seeds of fennel contain approximately 20% fatty oil, of which about 80% is petroselinic acid. The dried plant is an insect repellent,  the crushed leaves are effective for keeping dogs free of fleas. The plant was formerly used as a strewing herb. Yellow and brown dyes are obtained from the flowers and leaves combined.","It inhibits the growth of nearby plants, especially beans, tomatoes and kohl rabi.  It is itself inhibited by wormwood and coriander. However, the flowering plant attracts beneficial insects such as bees, parasitic wasps, tachinid flies and hoverflies to the garden. The presence of these creatures will help to maintain a natural balance of insects in the garden and help prevent infestations by aphis etc.","Seed - best sown in early spring in situ.  Seeds normally germinate within 2 - 3 weeks after sowing. The seed can also be sown in situ in the autumn. Division in early spring as the new growth appears. The plants are very tolerant of disturbance, we have found divisions to take well at any time of the year, though these divisions are never as good as seed-sown plants."
Anise (EN); Anice verde(IT);,Pimpinella anisum,Fruits; Seeds;,"The falling of the seeds from the central umbel, which is the first to flower and whose fruits are the most fragrant, determines the harvest date","The seeds should be dried in the shade or in the sun, and then shelled. It is recommended to store them in containers in a dry place",Amenorrhea;        ,https://www.gbif.org/species/8080300,8080300,https://temperate.theferns.info/viewtropical.php?id=Pimpinella+anisum,,,annual,"It grows best in areas where annual daytime temperatures are within the range 18 - 26°c, but can tolerate 5 - 30°c. The plant can survive temperatures down to about -7°c. Succeeds in ordinary garden soil, but prefers a fairly rich warm well-drained light soil in a sunny position. Prefers a pH in the range 6.5 - 7, tolerating 6 - 7.3. Plants strongly resent root disturbance and should not be transplanted. A good companion plant in the garden, its aromatic nature helping to keep nearby plants free of aphis etc. Its flowers attract parasitic wasps to the garden and these prey on a large number of garden pests. Aniseed grows especially well with coriander.","Young leaves - raw or cooked. The leaves have a sweet aniseed flavour, they are very refreshing to chew and are also nice as a flavouring in salads, puddings, soups, stews etc. When adding to cooked dishes, only add the leaves for the last few minutes of the cooking or the flavour will be lost. The aromatic seed is eaten raw or used as a flavouring in raw or cooked foods such as soups, pies, bread and cakes. A distinctive sweet liquorice flavour,  its use improves the body's ability to digest food. The seed is harvested by cutting the whole plant when the seed is ripe. The plants are then kept in a warm, dry position for a week and then threshed to remove the seeds. Store the seeds in the dark in an airtight jar. An essential oil from the seed is used as a food flavouring in sweets (especially aniseed balls) ice cream, chewing gum, pickles etc. The leaves and the seeds can be brewed into a sweet liquorice-like tea.","An essential oil is obtained from the seed, used in perfumery, tooth pastes, medicinally and as a food flavouring. The powdered seed can be used as a dentifrice and mouthwash. The plant can be used as an insect repellent but it is also said to attract mice. If aniseed oil is liberally smeared around live-traps it can attract mice and other rodents into them. The plants seem to be immune to the predations of slugs and snails and can help to protect neighbouring plants.  A spray made by boiling of one part coriander leaves and one part anise seeds in two parts of water is very effective against red spider mites and woolly aphids.",,"Seed - sow mid to late spring in situ. This sowing only succeeds in producing a crop of ripe seeds in years when the summers are hot. A more certain crop (but much more labour intensive) can be obtained by sowing 4 - 5 seeds per pot in a greenhouse in early spring. They should germinate within 3 weeks. Thin if necessary to the best seedling and plant them out after the last expected frosts.  Aniseed strongly resents root disturbance."
Oleander (EN); Oleandro (IT);,Nerium oleander,Leafs;,"Harvest the leaves during the summer, before the plants come into full bloom","Harvest the leaves during the summer, before the plants come into full bloom",Amenorrhea;        ,https://www.gbif.org/species/3169756,3169756,https://temperate.theferns.info/viewtropical.php?id=Nerium+oleander,"Skin contact with the plant can cause irritation. Death has been known to follow the use of the wood of this plant as a meat skewer. The plant contains a number of toxic principles, including oleandrin, neriine (neroside), oleandroside, ouabain and digitoxine. When ingested they can cause vomiting, shivering, gastroenteritis, respiratory disorders, weakness, brachycardia, convulsions, heart failure and death by asphyxia.","River banks and river gravels in Europe. Seasonally dry rocky watercourses.",evergreen shrub,"The plant is not very cold-hardy, being able to tolerate short periods with temperatures down to around -5 to -8°c when fully dormant, so long as the soil is well-drained. Requires a position in full sun. Prefers a fertile well-drained soil. Lime tolerant. Plants are very tolerant of heat and also of drought once they are established. Grows well in maritime gardens, tolerating salt-laden winds and saline soils.",,"The plant is used as a rat poison, a parasiticide and an insecticide. The pounded leaves and bark are used as an insecticide. An aqueous maceration of the pounded seeds can be used as an insecticide. A green dye is obtained from the flowers. The leaves contain small amounts of latex that can be used to make rubber, though the amount is too small for commercial utilization. A sticky lates exudes if the stems are cut.",,"Seed - sow spring in a greenhouse. Do not use seed from pods infected with the bacterial disease 'oleander knot'. Prick out the seedlings into individual pots when they are large enough to handle and grow them on in the greenhouse for at least their first winter before planting them out in early summer. Cuttings of half-ripe side shoots, mid summer to early autumn in a frame. Cuttings of mature leading shoots."
Common Ivy (EN); Edera (IT);,Hedera helix,Leafs; Flowers;,Harvest at any time of year,Harvest at any time of year,To regulate menstrual cycle;,https://www.gbif.org/species/8351737,8351737,https://temperate.theferns.info/viewtropical.php?id=Hedera+helix,"The plant is said to be poisonous in large doses although the leaves are eaten with impunity by various mammals without any noticeable harmful affects. The leaves and fruits contain the saponic glycoside hederagenin which, if ingested, can cause breathing difficulties and coma. The sap can cause dermatitis with blistering and inflammation. This is apparently due to the presence of polyacetylene compounds.","Woodlands, hedges and shady places, climbing up trees, walls etc and clambering over the ground. Found on all types of soils.",evergreen climber,"It grows well in heavy clay soils. Prefers some lime in the soil. Tolerates very dense shade, though it may not flower in such a position. The plant is very hardy and tolerant of atmospheric pollution. Established plants are drought tolerant. A very ornamental and hardy plant, it tolerates temperatures down to about -25°c. It provides dense shelter for birds, spiders etc, an abundant late supply of nectar for insects and a supply of seeds for winter food.  It is a food plant for the larvae of many species of butterfly. This species is notably resistant to honey fungus.",,"A yellow and a brown dye are obtained from the twigs. A decoction of the leaves is used to restore black fabrics and also as a hair rinse to darken the hair. If the leaves are boiled with soda they are a soap substitute for washing clothes etc.","An excellent ground cover for shady places, succeeding even in the dense shade of trees. A very effective weed suppresser. It is especially good at removing chemical vapours, especially formaldehyde","Seed - remove the flesh, which inhibits germination, and sow the seed in spring in a cold frame. Four weeks cold stratification will improve germination. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the cold frame for their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Cuttings of half-ripe wood, mid summer in a shady position in a frame. Good percentage. Cuttings of mature wood, 12cm long, late autumn in a cold frame. Layering. Plants often do this naturally."
Southern Wormwood (EN); Abrotano (IT);,Artemisia abrotanum,,,,Amenorrhea;        ,https://www.gbif.org/species/8042568,8042568,https://temperate.theferns.info/viewtropical.php?id=Artemisia+abrotanum,,,dedicious shrub,"Succeeds in most soils, preferring a well-drained one that is not too rich.  Easily grown in a well-drained circumneutral or slightly alkaline loamy soil, preferring a sunny position. Plants are longer lived, more hardy and more aromatic when they are grown in a poor dry soil. Tolerates a pH in the range 6.3 to 7.6. Established plants are drought tolerant. Plants succeed in maritime gardens. The leaves are very aromatic. It is best to cut the plant back fairly hard every spring in order to keep it compact and encourage plenty of new growth. Plants in this genus are notably resistant to honey fungus. Members of this genus are rarely if ever troubled by browsing deer.","The young shoots have a bitter, lemony flavour and are used in small quantities as a flavouring in cakes, salads and vinegars. A tea is made from the young bitter shoots.","The fresh plant can be rubbed onto the skin to deter insects. The shoots can be dried for indoor use, they remain effective for 6 - 12 months. They are also said to repel ants. Shoots can be burnt in the fireplace to remove cooking odours from the house. The leaves have a refreshing lemon-like fragrance and are used in pot-pourri. A yellow dye is obtained from the branches. An essential oil from the leaves and flowering shoots is used in perfumery in order to add certain subtle tones.","A good companion plant for cabbages. It is also a good plant to grow in the orchard, where it can help to reduce insect pests. The growing plant repels fruit tree moths when growing in an orchard. Plants can be grown as a low hedge, they tolerate quite hard clipping.","Seed - surface sow from late winter to early summer in a greenhouse. The seed usually germinates in 1 - 2 months at 15°c. When large enough to handle, prick the seedlings out into individual pots. Once the seedlings are more than 15cm tall, plant them out into their permanent positions in late spring or summer. Cuttings of young wood 8cm long, May in a frame. Cuttings of half-ripe wood with a heel, mid summer in a frame."
